t,x,y,z,q0,q1,q2,q3,q4,q5,q6
1.43046,0.224515,0.0417888,0.499793,0.00819,-0.730924,0.083024,-2.49011,0.125902,0.911601,0.060638
1.44046,0.222714,0.0441878,0.499797,0.009286,-0.737489,0.088193,-2.49379,0.132241,0.911557,0.05869
1.45046,0.220988,0.0466431,0.499802,0.01047,-0.743869,0.093481,-2.49729,0.138683,0.91183,0.056497
1.46046,0.21934,0.0491516,0.499808,0.011743,-0.750055,0.09888,-2.50061,0.145213,0.91243,0.05405
1.47046,0.217771,0.0517116,0.499813,0.013106,-0.756037,0.104387,-2.50374,0.151815,0.913368,0.051341
1.48046,0.216281,0.0543208,0.499819,0.014559,-0.761808,0.109996,-2.50668,0.158476,0.91465,0.048362
1.49046,0.214875,0.0569756,0.499826,0.0161,-0.767357,0.1157,-2.50943,0.165177,0.916286,0.045104
1.50046,0.213552,0.0596743,0.499832,0.017731,-0.772675,0.121493,-2.51198,0.171904,0.918283,0.041561
1.51046,0.212313,0.0624141,0.499839,0.019448,-0.777754,0.12737,-2.51434,0.17864,0.920647,0.037725
1.52046,0.211161,0.0651924,0.499847,0.021252,-0.782584,0.133323,-2.5165,0.185368,0.923382,0.03359
1.53046,0.210096,0.0680062,0.499854,0.023141,-0.787157,0.139344,-2.51845,0.192072,0.926495,0.02915
1.54046,0.20912,0.0708529,0.499863,0.025111,-0.791463,0.145428,-2.5202,0.198734,0.929987,0.0244
1.55046,0.208233,0.0737296,0.499871,0.027161,-0.795494,0.151565,-2.52176,0.205338,0.933862,0.019337
1.56046,0.207437,0.0766339,0.49988,0.029289,-0.799242,0.157748,-2.5231,0.211868,0.938121,0.013955
1.57046,0.206732,0.0795625,0.49989,0.03149,-0.802698,0.163969,-2.52424,0.218307,0.942763,0.008254
1.58046,0.206119,0.0825124,0.499899,0.033761,-0.805856,0.170219,-2.52518,0.224638,0.947788,0.00223
1.59046,0.205599,0.0854811,0.499909,0.036098,-0.808706,0.17649,-2.52592,0.230848,0.953194,-0.004116
1.60046,0.205173,0.0884653,0.49992,0.038496,-0.811244,0.182773,-2.52645,0.236919,0.958976,-0.010784
1.61046,0.20484,0.091462,0.499931,0.040952,-0.81346,0.189058,-2.52678,0.242837,0.96513,-0.017772
1.62046,0.204602,0.0944685,0.499942,0.04346,-0.815351,0.195337,-2.52691,0.248589,0.971649,-0.025079
1.63046,0.204458,0.0974816,0.499954,0.046014,-0.816909,0.2016,-2.52684,0.254162,0.978527,-0.032699
1.64046,0.204409,0.100498,0.499965,0.048608,-0.818129,0.207838,-2.52657,0.259542,0.985754,-0.040629
1.65046,0.204456,0.103515,0.499978,0.051238,-0.819007,0.214041,-2.52611,0.264717,0.993319,-0.048862
1.66046,0.204597,0.106529,0.499989,0.053896,-0.819538,0.220201,-2.52546,0.269678,1.00121,-0.057389
1.67046,0.204833,0.109538,0.500002,0.056576,-0.81972,0.226307,-2.52462,0.274413,1.00942,-0.066204
